# Constructed from biom file 
#OTU ID	34_1_P	34_1_Y	34_2_P	34_2_Y	12_P	12_Y	29_P	29_Y	44_P	44_Y	56_P	56_Y	58_P	58_Y	65_P	65_Y	70_P	70_Y	8_P	8_Y 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A	0	1	1	1	1	0	1	1	0	1	1	1	2	0	1	2	1	0	0	1 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__Lautropia mirabilis	0	1	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__JADZAI01;s__JADZAI01 sp019670725	0	2	0	0	0	1	0	0	2	1	0	1	0	0	1	0	2	2	0	2 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium sp013153155	0	2	0	0	1	1	1	0	0	3	1	1	0	2	2	2	0	0	1	1 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter sp000170795	0	2	1	1	0	0	1	0	2	1	1	2	3	1	1	2	1	0	2	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-1321;g__Bacillus_AD;s__Bacillus_AD massiliigorillae	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp028736195	0	1	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	0	1 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA4416;__	0	0	42	0	7	6	46	33	0	2	0	73	0	35	13	13	21	8	28	22 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudorhodoplanes;s__Pseudorhodoplanes sinuspersici	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Phyllobacterium;__	0	0	8	0	4	0	4	0	0	4	0	0	2	2	6	1	0	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium kunshanense	0	0	6	0	2	9	4	1	3	6	1	3	3	1	2	3	1	0	0	2 
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__Microsaccharimonas;__	0	0	23	0	5	1	8	0	0	22	0	9	0	3	10	0	13	8	2	9 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium sp030698145	0	0	4	0	1	0	0	1	0	1	0	0	2	3	1	0	0	3	2	3 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;__	0	0	8	0	6	4	6	0	3	1	3	7	4	0	1	0	2	0	5	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Dyadobacter;__	0	0	2	0	1	1	0	2	1	0	1	0	1	0	2	0	0	0	0	2 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;__;__;__	0	0	18	0	4	8	11	6	13	8	11	0	0	0	2	17	0	7	8	7 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caedimonadales;__;__;__	0	0	6	0	1	0	0	2	5	0	1	2	4	1	3	0	4	2	0	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__Flavihumibacter sp020161535	0	0	2	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Enterovirga;s__Enterovirga rhinocerotis	0	0	3	0	1	1	0	2	0	4	0	0	3	0	2	1	2	0	0	2 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhabdus;__	0	0	3	0	0	0	2	1	4	1	0	0	3	0	2	2	0	3	0	1 
d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;__	0	0	15	2	7	21	9	17	0	0	11	0	0	9	4	10	15	11	7	8 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium_A;s__Sphingobium_A colocasiae	0	0	3	0	1	3	1	2	0	1	0	1	0	1	0	2	0	0	0	2 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;__	0	0	10	0	8	1	10	0	0	4	6	0	0	3	5	0	0	4	7	1 
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio sp006874625	0	0	5	0	4	0	1	5	1	1	0	1	0	0	0	1	2	4	1	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium sp022829465	0	0	4	0	3	6	1	3	2	1	0	0	0	0	0	0	3	0	1	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium indicum	0	0	4	0	3	1	1	0	3	3	1	8	1	7	1	0	0	0	4	4 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium maltaromaticum	0	0	15	0	7	6	0	0	0	0	0	0	8	10	16	0	7	1	2	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Gottfriedia;__	0	0	7	0	2	0	3	0	14	0	1	0	1	9	0	4	0	7	3	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Perlucidibaca;__	0	0	7	0	3	0	4	0	3	7	6	3	3	3	5	3	4	4	3	4 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;__	0	0	1	2	1	2	0	1	1	0	2	0	2	0	0	2	1	0	2	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;__	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum_A;__	0	0	13	0	0	8	3	6	8	5	6	0	3	0	0	0	9	0	1	10 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium sp005502875	0	0	6	0	2	3	2	1	0	0	0	0	8	2	0	4	3	1	1	1 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;__;__	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	0	0	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Cohnella;__	0	0	13	0	7	4	12	2	8	3	8	0	7	1	6	0	7	23	13	10 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium wenxiniae	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;__	0	0	2	0	0	1	0	0	2	1	1	1	0	0	1	0	0	0	0	1 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;__;__	0	0	12	0	0	10	1	0	4	3	3	4	1	1	7	13	0	2	9	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp021151695	0	0	3	0	3	0	2	3	2	3	0	0	2	0	0	3	1	1	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas olei	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium hispanicum	0	0	2	0	1	1	0	0	0	1	0	1	2	0	1	0	1	1	0	1 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Sanguibacter;s__Sanguibacter inulinus	0	0	1	0	1	0	0	2	0	0	1	0	1	0	0	0	1	2	0	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;__;__	0	0	5	0	0	2	0	1	5	1	1	1	1	2	0	0	0	3	2	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium sp024699985	0	0	2	0	1	2	0	1	0	0	1	1	1	0	2	2	0	1	0	2 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Azorhizobium;s__Azorhizobium doebereinerae	0	0	3	0	1	2	1	1	2	0	0	0	1	0	0	2	0	2	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseococcus;__	0	0	2	0	0	0	0	1	2	1	2	0	0	1	1	1	2	2	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Thalassospiraceae;g__Thalassospira;s__Thalassospira mesophila	0	0	2	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0 
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Metamycoplasma;s__Metamycoplasma salivarium	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas_A;__	0	0	4	0	0	2	1	5	0	2	0	0	0	2	4	2	0	4	1	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_B;s__Mesorhizobium_B sp024053505	0	0	8	0	2	1	2	0	7	5	2	6	0	6	3	4	0	0	0	6 
d__Bacteria;p__Bacillota;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus;__	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Tardiphaga;__	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium aquaticum	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	2	1	1	0	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp020707215	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter;s__Leucobacter luti_A	0	0	4	0	2	0	1	1	1	0	1	0	0	3	0	1	1	1	3	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Pseudaminobacter;__	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Erwinia;__	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ensifer;__	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseococcus;s__Roseococcus sp004336745	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter;__	0	0	2	0	2	1	1	2	2	1	0	2	0	0	1	1	0	1	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pelomonas;__	0	0	3	1	1	0	1	1	1	2	0	1	2	2	4	0	0	1	0	3 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;__	0	0	1	2	0	1	0	0	1	0	2	0	1	0	2	0	2	0	1	2 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__Gordonia liuliyuniae	0	0	2	0	0	2	1	2	0	0	0	1	2	0	0	0	1	2	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium sp014851585	0	0	2	0	2	2	1	1	0	1	0	3	0	0	1	0	1	0	0	1 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Pedococcus;__	0	0	2	0	0	0	0	0	2	0	2	1	0	2	0	2	1	1	1	1 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-18226;g__Neobacillus;s__Neobacillus sp030818775	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Tsukamurella;__	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1 
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__DSM-13327;f__DSM-13327;g__Pelosinus;s__Pelosinus sp030269905	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;__	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;__	0	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Kaistiaceae;g__Kaistia;s__Kaistia hirudinis	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhabdus;s__Rhizorhabdus phycosphaerae	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Alkanindiges;s__Alkanindiges hydrocarboniclasticus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium_E;s__Rhizobium_E sp019739215	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;__	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium spiritivorum	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-18226;__;__	0	0	0	15	4	1	12	0	0	7	11	7	14	11	0	11	0	12	11	3 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Dietzia;__	0	0	0	14	11	2	11	0	0	5	0	0	0	15	0	5	0	4	2	3 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Edaphocola;s__Edaphocola koreensis	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Dietzia;s__Dietzia aurantiaca	0	0	0	8	4	0	4	0	0	4	3	1	0	3	2	6	0	2	11	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp019718755	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas sp025642745	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-1321;g__Peribacillus;__	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera ascorbata	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus yeei	0	0	0	3	0	3	0	2	1	2	2	0	0	2	2	0	0	0	1	1 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;__;__;__	0	0	0	2	3	1	0	0	0	0	0	1	0	0	1	1	1	0	2	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA3961;s__UBA3961 sp016721085	0	0	0	1	1	0	0	0	1	0	2	0	0	0	1	0	1	1	0	1 
